Sl No,State,2019 Killed,2020 Killed,2021 Killed,2022 Killed,2023 Killed,% change from 2022 to 2023,2019 Ranking,2020 Ranking,2021 Ranking,2022 Ranking,2023 Ranking
1,Andhra Pradesh,"7,984","7,039","8,186","8,293","8,137",-1.9,7.0,7.0,7.0,8.0,8.0
2,Arunachal Pradesh,127,73,157,148,145,-2.0,28.0,28.0,26.0,27.0,27.0
3,Assam,"3,208","2,629","3,036","2,994","3,296",10.1,18.0,18.0,18.0,18.0,18.0
4,Bihar,"7,205","6,699","7,660","8,898","8,873",-0.3,9.0,9.0,8.0,7.0,7.0
5,Chhattisgarh,"5,003","4,606","5,371","5,834","6,166",5.7,14.0,13.0,12.0,12.0,11.0
6,Goa,297,223,226,271,290,7.0,23.0,23.0,23.0,23.0,23.0
7,Gujarat,"7,390","6,170","7,452","7,618","7,854",3.1,8.0,10.0,10.0,9.0,9.0
8,Haryana,"5,057",4507,"4,706","4,915","4,968",1.1,13.0,14.0,14.0,14.0,14.0
9,Himachal Pradesh,"1,146",893,"1,052","1,032",889,-13.9,20.0,20.0,20.0,21.0,22.0
10,Jharkhand,"3,801","3,044","3,513","3,898","4,173",7.1,17.0,16.0,16.0,17.0,16.0
11,Karnataka,"10,958","9,760","10,038","11,702","12,321",5.3,5.0,5.0,6.0,5.0,5.0
12,Kerala,"4,440","2,979","3,429","4,317","4,080",-5.5,16.0,17.0,17.0,16.0,17.0
13,Madhya Pradesh,"11,249","11,141","12,057","13,427","13,798",2.8,4.0,4.0,4.0,4.0,4.0
14,Maharashtra,"12,788","11,569","13,528","15,224","15,366",0.9,3.0,3.0,3.0,3.0,3.0
15,Manipur,156,127,110,127,73,-42.5,26.0,27.0,28.0,28.0,31.0
16,Meghalaya,179,144,187,162,168,3.7,25.0,26.0,25.0,26.0,25.0
17,Mizoram,48,42,56,113,96,-15.0,32.0,33.0,31.0,29.0,28.0
18,Nagaland,26,53,55,73,86,17.8,34.0,30.0,34.0,33.0,29.0
19,Odisha,"5,333","4,738","5,081","5,467","5,739",5.0,12.0,12.0,13.0,13.0,13.0
20,Punjab,"4,525","3,898","4,589","4,756","4,829",1.5,15.0,15.0,15.0,15.0,15.0
21,Rajasthan,"10,563","9,250","10,043","11,104","11,762",5.9,6.0,6.0,5.0,6.0,6.0
22,Sikkim,73,47,56,92,57,-38.0,30.0,32.0,31.0,30.0,34.0
23,Tamil Nadu,"18,129","14,527","15,384","17,884","18,347",2.6,2.0,2.0,2.0,2.0,2.0
24,Telangana,"6,964","6,882","7,557","7,559","7,660",1.3,10.0,8.0,9.0,10.0,10.0
25,Tripura,239,192,194,241,261,8.3,24.0,24.0,24.0,24.0,24.0
26,Uttarakhand,867,674,820,"1,042",1054,1.2,22.0,22.0,21.0,20.0,20.0
27,Uttar Pradesh,"22,655","19,149","21,227","22,595","23,652",4.7,1.0,1.0,1.0,1.0,1.0
28,West Bengal,"5,767","5,128","5,800","6,002","6,027",0.4,11.0,11.0,11.0,11.0,12.0
29,Andaman & Nicobar Islands,20,14,20,19,24,26.3,35.0,34.0,35.0,35.0,35.0
30,Chandigarh,104,53,96,83,67,-19.3,29.0,30.0,29.0,32.0,32.0
31,Dadra & Nagar Haveli*,49,64,76,90,74,-17.8,31.0,29.0,30.0,31.0,30.0
32,Daman & Diu,28,,,,,0.0,33.0,35.0,0.0,0.0,36.0
33,Delhi,"1,463","1,196","1,239","1,461","1,457",-0.3,19.0,19.0,19.0,19.0,19.0
34,J & K #,996,728,774,805,893,10.9,21.0,21.0,22.0,22.0,21.0
35,Ladakh,,,56,62,59,-4.8,0.0,0.0,31.0,34.0,33.0
36,Lakshadweep,0,0,1,2,0,-100.0,36.0,35.0,36.0,36.0,36.0
37,Puducherry,147,145,140,181,149,-17.7,27.0,25.0,27.0,25.0,26.0
# includes Ladakh for 2019 and 2020,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
* Dadra and Nagar Haveli includes Daman and Diu ,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
